DOI,Article Title,Source Title,Author Keywords,Keywords Plus,Abstract
10.1002/adfm.202307369,A Metal-Organic Framework Incorporating Eight Different Size Rare-Earth Metal Elements: Toward Multifunctionality A La Carte,ADVANCED FUNCTIONAL MATERIALS,carboranes; lanthanide molecular magnets; multivariate metal-organic frameworks; rare-earth materials,RAY CIRCULAR-DICHROISM; COORDINATION POLYMERS; O-CARBORANE; 3D; WATER; PHARMACOPHORES; COMPLEXES; CHEMISTRY; CRYSTAL; SERIES,"Multi-metallic multivariate (MTV) rare earth (RE) metal-organic frameworks (MOFs) are of interest for the development of multifunctional materials, however examples with more than three RE cations are rare and obstructed by compositional segregation during synthesis. Herein, this work demonstrates the synthesis of a multi-metallic MTV RE MOF incorporating two, four, six, or eight different RE ions with different sizes and in nearly equimolar amounts and no compositional segregation. The MOFs are formed by a combination of RE cations (La, Ce, Eu, Gd, Tb, Dy, Y, and Yb) and a 1,7-di(4-carboxyphenyl)-1,7-dicarba-closo-dodecaborane (mCB-L) linker. The steric bulkiness and acidity of mCB-L is crucial for the incorporation of different size RE ions into the MOF structure. Demonstration of the incorporation of all RE cations is performed via compositional and structural characterization. The more complex MTV MOF, including all eight RE ions (mCB-8RE), are also characterized using optical, thermal, and magnetic techniques. Element-selective X-ray absorption spectroscopy and X-ray Magnetic Circular Dichroism measurements allow us to characterize spectroscopically each of the eight RE ions and determine their magnetic moments. This work paves the way for the investigation of MTV MOFs with the possibility to combine RE ions a la carte for diverse applications."
10.1002/adfm.202410751,Cradle-to-Gate Environmental Impact Assessment of Commercially Available Metal-Organic Frameworks Manufacturing,ADVANCED FUNCTIONAL MATERIALS,commercially available MOFs; environmental assessment; environmental impacts; life cycle assessment; metal-organic frameworks,PRODUCT DESIGN; TOOLS,"Metal-organic frameworks (MOFs) are promising next-generation crystalline porous materials with exceptional structural, chemical, and application diversity. Since their discovery, the reticular tunability and physiochemical properties of MOFs have been studied and carefully manipulated to make them suitable for a wide variety of applications. After decades of research, these materials are moving from the benchtop to commercial, industrial-scale production. Although MOFs are now widely explored, the overall environmental impacts of these emerging materials are still underexplored. In this work, the first example of overall assessment of ten industrially produced and widely explored MOFs considering 18 diverse environmental impact categories such as global warming potential, fossil resource scarcity, water consumption, ecotoxicity, etc. via cradle-to-gate life cycle assessment is presented. Importantly, this study presents a comprehensive comparison between different synthetic methods of each MOF and compiles the environmental impacts associated only with the individual synthesis or washing steps. This study highlights the critical importance of using of green solvents over organic to reduce the overall environmental footprint. By identifying the synthetic drawbacks associated with different methods, this work provides a blueprint for the sustainable design and required future development of MOF synthesis. This work represents a pioneering study of systematic and comprehensive environmental impact assessment of 10 of the most widely studied and commercially available metal-organic framework (MOFs), using 18 environmental impact categories. image"
10.1002/adfm.202501344,Controllable Regulation of Ligand Stacking in MOF Single-Crystal: From F-F to E-F Stacking Mode for Efficient Photocatalysis,ADVANCED FUNCTIONAL MATERIALS,green synthesis; herringbone stacking; MOFs single crystal; photocatalysts,METAL-ORGANIC FRAMEWORKS; SIMULATION,"Preparing single crystals of metal-organic frameworks (MOFs) is crucial for studying their semiconductor catalyst properties. In this study, Ni-TBAPy-EF (edge-to-face) single crystals are successfully synthesized in pure water for the first time and an effective strategy is proposed to promote the efficient utilization of photoexcited electrons by modulating the stacking mode of ligand in MOFs. The C & horbar;H center dot center dot center dot pi interactions between the ligands promote the formation of herringbone stacking and the Ni-TBAPy-EF can withstand a wide range of pH environments or organic reagents. Experimental results and theoretical calculations corroborate that the overlapping of intermolecular orbitals in this stacking mode enhance the light absorption capacity and charge transfer capability. The hydrogen bonding microenvironment and ligand-metal charge transfer (LMCT) electron transfer in MOFs ensured efficient electron utilization. As a result, Ni-TBAPy-EF exhibites excellent hydrogen production (17.4 mmol g-1 h-1, lambda >= 420 nm) and high apparent quantum efficiency (AQE 9.16%) without co-catalysts."
10.1002/adfm.202504117,Programmable 2D Metal-Organic Framework Nanosheets for Enzyme-Like Hydrolysis of Large Proteins,ADVANCED FUNCTIONAL MATERIALS,dipeptide hydrolysis; metal-organic framework nanosheets (MONs); metalloproteases; protein hydrolysis; zirconium,LAYERS; PHOTOOXIDATION; ACID,"The development of materials that mimic the catalytic activity of natural enzymes, so called nanozymes, are of crucial importance in biochemical and biotechnological fields. A Zr-pyridine tribenzoate metal-organic framework nanosheet (MON), Zr-PTB with 6-connected Zr6O8 clusters is synthesized via a formic acid modulated solvothermal synthesis. The catalytic activity of MON, graphene-like 2D materials which possess large external surface areas and tunable properties, is reported for the first time toward peptide bond hydrolysis of various peptides and proteins. Structure-reactivity analysis and the comparison with Zr-BTB (BTB = 1,3,5-tri(4-carboxyphenylbenzene)), a structural analogue of Zr-PTB with a more hydrophobic linker, revealed a delicate interplay between coordination bonds and hydrophobic interactions with the MON's surface as the main driving forces influencing reactivity. Compared to 3D MOFs, Zr-PTB produced a larger number of peptide fragments, indicating the importance of larger external surface area with easily accessible catalytically active sites for more comprehensive hydrolysis of proteins. The advantage of 2D MONs with respect to 3D MOFs, where pore sizes and diffusion of large substrates is a limiting factor influencing their reactivity, is further reflected by the ability to hydrolyze very large proteins. The exceptional stability of Zr-PTB allowed for its recyclability for over 5 reaction cycles."
10.1002/adma.201907063,Demonstration of a Broadband Photodetector Based on a Two-Dimensional Metal-Organic Framework,ADVANCED MATERIALS,2D semiconductors; broadband photodetectors; low-temperature photodetection; metal-organic frameworks; photosensitivity,ELECTRICAL-CONDUCTIVITY; DESIGN; MOFS,"Metal-organic frameworks (MOFs) are emerging as an appealing class of highly tailorable electrically conducting materials with potential applications in optoelectronics. Yet, the realization of their proof-of-concept devices remains a daunting challenge, attributed to their poor electrical properties. Following recent work on a semiconducting Fe-3(THT)(2)(NH4)(3) (THT: 2,3,6,7,10,11-triphenylenehexathiol) 2D MOF with record-high mobility and band-like charge transport, here, an Fe-3(THT)(2)(NH4)(3) MOF-based photodetector operating in photoconductive mode capable of detecting a broad wavelength range from UV to NIR (400-1575 nm) is demonstrated. The narrow IR bandgap of the active layer (approximate to 0.45 eV) constrains the performance of the photodetector at room temperature by band-to-band thermal excitation of charge carriers. At 77 K, the device performance is significantly improved; two orders of magnitude higher voltage responsivity, lower noise equivalent power, and higher specific detectivity of 7 x 10(8) cm Hz(1/2) W-1 are achieved under 785 nm excitation. These figures of merit are retained over the analyzed spectral region (400-1575 nm) and are commensurate to those obtained with the first demonstrations of graphene- and black-phosphorus-based photodetectors. This work demonstrates the feasibility of integrating conjugated MOFs as an active element into broadband photodetectors, thus bridging the gap between materials' synthesis and technological applications."
10.1002/adma.202103316,Sensing Molecules with Metal-Organic Framework Functionalized Graphene Transistors,ADVANCED MATERIALS,alcohol; graphene; metal-organic frameworks; sensing; transistors,ADSORPTION; DEPOSITION; DESORPTION; SURFACES; BEHAVIOR; STORAGE; ETHANOL; SENSORS; OXIDE; WATER,"Graphene is inherently sensitive to vicinal dielectrics and local charge distributions, a property that can be probed by the position of the Dirac point in graphene field-effect transistors. Exploiting this as a useful sensing principle requires selectivity; however, graphene itself exhibits no molecule-specific interaction. Complementarily, metal-organic frameworks can be tailored to selective adsorption of specific molecular species. Here, a selective ethanol sensor is demonstrated by growing a surface-mounted metal-organic framework (SURMOF) directly onto graphene field-effect transistors (GFETs). Unprecedented shifts of the Dirac point, as large as 15 V, are observed when the SURMOF/GFET is exposed to ethanol, while a vanishingly small response is observed for isopropanol, methanol, and other constituents of the air, including water. The synthesis and conditioning of the hybrid materials sensor with its functional characteristics are described and a model is proposed to explain the origin, magnitude, and direction of the Dirac point voltage shift. Tailoring multiple SURMOFs to adsorb specific gases on an array of such devices thus generates a versatile, selective, and highly sensitive platform for sensing applications."
10.1002/adma.202304832,How Reproducible is the Synthesis of Zr-Porphyrin Metal-Organic Frameworks? An Interlaboratory Study,ADVANCED MATERIALS,metal-organic frameworks; reproducibility; synthesis,MODULATED SYNTHESIS; DIFFRACTION; MOFS; CRYSTALLIZATION; ACTIVATION; BEHAVIOR; INSIGHT,"Metal-organic frameworks (MOFs) are a rapidly growing class of materials that offer great promise in various applications. However, the synthesis remains challenging: for example, a range of crystal structures can often be accessed from the same building blocks, which complicates the phase selectivity. Likewise, the high sensitivity to slight changes in synthesis conditions may cause reproducibility issues. This is crucial, as it hampers the research and commercialization of affected MOFs. Here, it presents the first-ever interlaboratory study of the synthetic reproducibility of two Zr-porphyrin MOFs, PCN-222 and PCN-224, to investigate the scope of this problem. For PCN-222, only one sample out of ten was phase pure and of the correct symmetry, while for PCN-224, three are phase pure, although none of these show the spatial linker order characteristic of PCN-224. Instead, these samples resemble dPCN-224 (disordered PCN-224), which has recently been reported. The variability in thermal behavior, defect content, and surface area of the synthesised samples are also studied. The results have important ramifications for field of metal-organic frameworks and their crystallization, by highlighting the synthetic challenges associated with a multi-variable synthesis space and flat energy landscapes characteristic of MOFs. It performed an interlaboratory study of the synthesis of the metal-organic frameworks (MOFs) PCN-222 and PCN-224. Ten participants independently synthesized the two MOFs and the products are analyzed, primarily by X-ray diffraction. The success rates are low (one-three samples corresponding to a pure sample of the correct phase), thus highlighting the problems with irreproducibility in MOF synthesis. image"
10.1002/adma.202500370,Tailored Design of Mesoporous Metal Organic Framework Single Crystals by Kinetics-Mediated Micelle Assembly for Efficient Asymmetrical Single-Atom Catalysis,ADVANCED MATERIALS,asymmetrical single-atom; kinetics-mediated micelle assembly; mesoporous materials; metal organic frameworks; oxygen reduction reaction (ORR),MOFS,"Constructing mesoporous metal organic frameworks (MesoMOFs) with customizable meso- and micro-environment is pivotal for asymmetric single-atom catalysis, yet it is impeded by the strong self-growth tendency of MOFs. In this work, a novel kinetics-mediated micelle assembly strategy is introduced to realize the general fabrication of mesoporous zeolitic imidazolate framework (ZIF) single crystals. Spectroscopic characterizations and cryo-electron cryomicroscopy reveal that the strategic use of water accelerates the MOFs kinetics-mediated micelle assembly via enhancing ligand deprotonation, which suppresses the MOFs self-growth, facilitating the cooperative assembly of micelles and MOFs. Furthermore, the water amount can modulate the Flory-Huggins interaction parameters between the solvents and micelles, thereby precisely controlling the pore architectures from spherical, cylindrical to vesicular. Such versatile synthesis creates a new class of mesoporous asymmetric CoN3O single-atom catalyst. Synchrotron spectral characterizations and theoretical calculations uncover that this asymmetric geometry localizes more electrons around Co center and upshift the d-band center, stabilizing O* intermediates and promoting the oxygen reduction reaction (ORR). Consequently, the asymmetric mesoporous catalyst exhibits a half-wave potential (0.91 V in alkaline media) and a high power density (185 mW cm-2) in a zinc-air battery. This work provides a new approach for designing MesoMOFs for asymmetric single-atom catalysis."
10.1002/admi.202201771,Fully Automated Optimization of Robot-Based MOF Thin Film Growth via Machine Learning Approaches,ADVANCED MATERIALS INTERFACES,automated syntheses; l-b-l; machine learning; metal-organic framework; optimizations; orientation control; thin films,METAL-ORGANIC FRAMEWORKS; ORIENTED GROWTH; DEPOSITION; SEPARATION; HYDROGEN; STORAGE,"Metal-organic frameworks (MOFs), have emerged as ideal class of materials for the identification of structure-property relationships and for the targeted design of multifunctional materials for diverse applications. While the powder form is most common, for the integration of MOFs into devices, typically thin films of surface anchored MOFs (SURMOFs), are required. Although the quality of SURMOFs emerging from layer-by-layer approaches is impressive, previous works revealed that the optimum growth conditions are very different between different types of MOFs and different substrates. Furthermore, the choice of appropriate synthesis conditions (e.g., solvents, modulators, concentrations, immersion times) is crucial for the growth process and needs to be adjusted for different substrates. Machine learning (ML) approaches show great promise for multi-parameter optimization problems such as the above discussed growth conditions for SURMOF on a particular substrate. Here, this work presents an ML-based approach allowing to quickly identify optimized growth conditions for HKUST-I SURMOFs with high crystallinity and uniform orientation. This process can subsequently be used to optimize growth on other types of substrates. In addition, an analysis of the results allows to gain further insights into the factors governing the growth of MOF thin films."
10.1002/admi.202300075,Enhancing the Stability of Cu-BTC Metal-Organic Framework via the Formation of Cu-BTC@Cu3(PO4)2 MOF Core-Shell Nanoflower Hierarchical Hybrid Composites,ADVANCED MATERIALS INTERFACES,copper phosphate; Cu-BTC MOF; hierarchical core-shell nanostructure; nanoflowers,ROOM-TEMPERATURE SYNTHESIS; SONOCHEMICAL SYNTHESIS; CATALYTIC-PROPERTIES; SOY PROTEIN; ADSORPTION; COPPER; WATER; CO2; FABRICATION; REDUCTION,"Hybrid organic-inorganic nanoflowers (NFs) have recently emerged as a critical tool in enhancing the stability and activity of biomolecules due to their expansive surface area and porosity. The delicate petal-like features of NFs offer innumerable sites for biomolecule adsorption, including but not limited to proteins, amino acids, and enzymes. Cu-BTC, a copper-based Metal-Organic Framework (MOF) has been hindered in its potential for diverse applications by its instability in humid and aqueous conditions. To overcome this limitation, this study explores the stabilization of Cu-BTC via the mineralization of its surface with the formation of copper phosphate nanoflowers (NFs). To initiate the mineralization process and provide a template for the growth of the NFs, a physiologically rich amino acid medium is employed. The inclusion of amino acids in the RPMI medium played a crucial role in the preservation of the Cu-BTC hierarchical structure by facilitating the self-assembly of copper phosphate nanoflowers on its surface, thereby producing a Cu-BTC@Cu-3(PO4)(2) core-shell structure. The innovative mechanism behind the formation of copper phosphate nanoflowers in this study and its consequential stabilization of the Cu-BTC MOF structure underscore its novel nature."
