doi,article_trial_or_failure,article_trial_or_failure_notes,mof_description,mof_name,modification_notes,rationale,based_on_success_index,varied_classes,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,metel_concnertation,M_L_ratio,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,metal_cluster_connectivity_classified,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error,crystal_code,additional_original_article_trial_or_failure,additional_trial_flag_source
10.1021/acs.cgd.6b01732,yes,No crystalline material without water layering or in homogeneous DMF/H2O.,a copper metal-organic framework with Cu4(?3-OH)2 cluster; two edge-sharing Cu3(OH) triangles built by organic linker tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole,calixMOF1,"Control experiment reported that in the absence of water, no crystalline material formed. Represented by removing the water layer (solvent_secondary set to null) relative to the layered DMF/H2O base for calixMOF1.",Negative conditions near calixMOF1: control experiments reported no crystalline material when water was absent or when DMF/H2O were homogeneous. We represent the encodable no-water case against the calixMOF1 layered-DMF/H2O base; homogeneous mixing (no layering) cannot be encoded.,1,solvent_secondary,Cu(NO3)2·1H2O,,45 mg (0.205 mmol),0.205,mmol,,,,,,,,,,,tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole,L1,400 mg (0.411 mmol),0.411,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,45 mL,45,,,,,5,0.5,100,100 °C,24,24 h,Teflon-lined autoclave,static,"DMF, EtOH",,dried at 80 °C for 24 h,80,24,blue crystalline powder; single crystals obtained under layered DMF/H2O,,,,Cu4(?3-OH)2 cluster; two edge-sharing Cu3(OH) triangles,trinuclear ?3-oxo trimer cluster SBU,"a=16.241(2), b=16.868(3), c=26.290(2) Å, ?=89.457(10)°, ?=72.01(2)°, ?=88.243(14)°, P-1",,,not_reported,not_reported,200,,10.1021/acs.cgd.6b01732,ok,,,,
10.1021/acsami.5c01476,yes,No solid with [EMIm]BF4 only; ethanol only gave 11.34% yield; interface gave 97.49%.,an iron metal-organic framework built by organic linker 2-aminoterephthalic acid,NH2-MIL-101(Fe),"Per Results 3.1, using ethanol alone for 12 h gave only 11.34% solid (far below the 97.49% from the interface). Represented by removing the ionic liquid (solvent_secondary = null) while keeping ethanol as solvent_main; single-solvent volume not stated.",Single-solvent trials versus the IL–ethanol interfacial synthesis of NH2?MIL?101(Fe): [EMIm]BF4 only gave no solid; ethanol only gave 11.34% solid. Represented as solvent modifications to the room?temperature interface success.,1,solvent_secondary,FeCl3·6H2O,FeCl3·6H2O,270.3 mg,1.42041,mmol,,,,,,,,,,,2-aminoterephthalic acid,H2ATA,181.2 mg,1.00028,mmol,,,,,,,,,,,,,,,,,,,,,ethanol,EtOH,7 mL,7,,,,,203,1.42,25,room temperature,12,12 h,,,MeOH,,60 °C under vacuum,60,,stacked nanocrystals,97.49,60-100 nm,,,,,,1886.7,not_reported,not_reported,250,CO2_capture;cycloaddition catalysis,10.1021/acsami.5c01476,ok,,,,
10.1021/acsami.5b11760,yes,"ZIF-90 did not form at RT without base; RT syntheses of ZIF-7, ZIF-8, and TIF-2 with ternary amine were unsuccessful.",a zinc metal-organic framework built by organic linker imidazolate-2-carboxyaldehyde,ZIF-90,"RT ZIF-90 without any base: authors state 'In the absence of a base, ZIF-90 does not form at RT'. Represented by removing the tertiary amine (TOA) from the standard RT ZIF-90 recipe; all other components as in Success 1.","Negative data include: ZIF-90 fails at RT without base; and RT syntheses of ZIF-7, ZIF-8, and TIF-2 in the presence of a tertiary amine (using ZIF-90 RT conditions) were unsuccessful. Plans are anchored to the closest successful RT ZIF-90 base or adapted per text.",1,modulator_1,Zn(NO3)2·6H2O,,223 mg (0.75 mmol),0.75,mmol,,,,,,,,,,,imidazolate-2-carboxyaldehyde,,200 mg (2.10 mmol),2.1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,50 mL + 100 mL + 50 mL,200,,,,,4,0.36,25,RT,0.017,1 min,,stirred,EtOH,5×,kept under vacuum overnight (dry ZIF-90 NPs),,,,74-79,60–90 nm,,,,,,,not_reported,not_reported,,,10.1021/acsami.5b11760,ok,,,,
10.1021/acsami.5b11760,yes,"ZIF-90 did not form at RT without base; RT syntheses of ZIF-7, ZIF-8, and TIF-2 with ternary amine were unsuccessful.",a zinc metal-organic framework built by organic linker benzimidazole,ZIF-90,RT attempt to form ZIF-7 under the ZIF-90 RT conditions with a tertiary amine was unsuccessful. Represented by substituting benzimidazole for IcaH in the Success 1 RT DMF/tertiary-amine base; other parameters as in that base.,"Negative data include: ZIF-90 fails at RT without base; and RT syntheses of ZIF-7, ZIF-8, and TIF-2 in the presence of a tertiary amine (using ZIF-90 RT conditions) were unsuccessful. Plans are anchored to the closest successful RT ZIF-90 base or adapted per text.",1,linker_1,Zn(NO3)2·6H2O,,223 mg (0.75 mmol),0.75,mmol,,,,,,,,,,,benzimidazole,,2.1 mmol,2.1,mmol,,,,,,,,,,,trioctylamine (TOA),,0.86 mL (1.96 mmol),,,,,,,,dimethylformamide,DMF,50 mL + 100 mL + 50 mL,200,,,,,4,0.36,25,RT,0.017,1 min,,stirred,EtOH,5×,kept under vacuum overnight (dry ZIF-90 NPs),,,,74-79,60–90 nm,,,,,,,not_reported,not_reported,,,10.1021/acsami.5b11760,ok,,,,
10.1021/acsami.5b11760,yes,"ZIF-90 did not form at RT without base; RT syntheses of ZIF-7, ZIF-8, and TIF-2 with ternary amine were unsuccessful.",a zinc metal-organic framework built by organic linker 2-methylimidazole,ZIF-90,RT attempt to form ZIF-8 under the ZIF-90 RT conditions with a tertiary amine was unsuccessful. Represented by substituting 2-methylimidazole for IcaH in the Success 1 RT DMF/tertiary-amine base; other parameters as in that base.,"Negative data include: ZIF-90 fails at RT without base; and RT syntheses of ZIF-7, ZIF-8, and TIF-2 in the presence of a tertiary amine (using ZIF-90 RT conditions) were unsuccessful. Plans are anchored to the closest successful RT ZIF-90 base or adapted per text.",1,linker_1,Zn(NO3)2·6H2O,,223 mg (0.75 mmol),0.75,mmol,,,,,,,,,,,2-methylimidazole,,2.1 mmol,2.1,mmol,,,,,,,,,,,trioctylamine (TOA),,0.86 mL (1.96 mmol),,,,,,,,dimethylformamide,DMF,50 mL + 100 mL + 50 mL,200,,,,,4,0.36,25,RT,0.017,1 min,,stirred,EtOH,5×,kept under vacuum overnight (dry ZIF-90 NPs),,,,74-79,60–90 nm,,,,,,,not_reported,not_reported,,,10.1021/acsami.5b11760,ok,,,,
10.1016/j.cattod.2006.09.003,yes,Solvothermal reactions gave amorphous/microcrystalline solids; only TEA vapor diffusion at RT yielded crystals.,"an iron metal-organic framework with Fe3O(O2C)6 trigonal prismatic SBU and acs topology built by organic linker 2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",,Solvothermal reactions of FeCl2·4H2O (0.38 mmol) and H2F4BDC (0.13 mmol) in DMF/H2O yielded amorphous or microcrystalline precipitates; only TEA vapor diffusion at room temperature produced crystals (text states “solvothermal reactions typically produced amorphous or microcrystalline precipitates”). Represented with three typical solvothermal temperatures and times (no specific values given in the article). TEA vapor omitted for solvothermal runs. ,Negative data captured for Fe3O(F4BDC)3(H2O)3·(DMF)3.5 (1): solvothermal FeCl2/F4BDC in DMF/H2O gave amorphous or microcrystalline solids; only TEA vapor diffusion at RT worked. Zinc MOF-5 analogue attempts are excluded as a different target.,1,modulator_1;solvent_main;solvent_secondary;temperature_c;time_h,FeCl2·4H2O,,"0.15 g, 0.38 mmol",0.38,mmol,,,,,,,,,,,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",F4BDC,"0.03 g, 0.13 mmol",0.13,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,1.0 mL,1,water,H2O,0.5 mL,0.5,380,2.92,100,100.0 °C,6,6.0 h,vapor diffusion setup (sealed vial),static,"DMF, hexanes, chloroform","DMF 3×, hexanes 3×; chloroform 3× then 10 h immersion",50 °C under vacuum for 6 h,50,6,brown rod-shaped crystals,64,0.38 × 0.10 × 0.10 mm,acs,Fe3O(O2C)6 trigonal prismatic SBU,polynuclear cluster SBU,"a=b=15.790(2) Å, c=16.050(2) Å, P63/mmc",14,,not_reported,no,250,hydrogen storage,10.1016/j.cattod.2006.09.003,ok,,,,
10.1016/j.cattod.2006.09.003,yes,Solvothermal reactions gave amorphous/microcrystalline solids; only TEA vapor diffusion at RT yielded crystals.,"an iron metal-organic framework with Fe3O(O2C)6 trigonal prismatic SBU and acs topology built by organic linker 2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",,Solvothermal reactions of FeCl2·4H2O (0.38 mmol) and H2F4BDC (0.13 mmol) in DMF/H2O yielded amorphous or microcrystalline precipitates; only TEA vapor diffusion at room temperature produced crystals (text states “solvothermal reactions typically produced amorphous or microcrystalline precipitates”). Represented with three typical solvothermal temperatures and times (no specific values given in the article). TEA vapor omitted for solvothermal runs. ,Negative data captured for Fe3O(F4BDC)3(H2O)3·(DMF)3.5 (1): solvothermal FeCl2/F4BDC in DMF/H2O gave amorphous or microcrystalline solids; only TEA vapor diffusion at RT worked. Zinc MOF-5 analogue attempts are excluded as a different target.,1,modulator_1;solvent_main;solvent_secondary;temperature_c;time_h,FeCl2·4H2O,,"0.15 g, 0.38 mmol",0.38,mmol,,,,,,,,,,,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",F4BDC,"0.03 g, 0.13 mmol",0.13,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,1.0 mL,1,water,H2O,0.5 mL,0.5,380,2.92,100,100.0 °C,24,24.0 h,vapor diffusion setup (sealed vial),static,"DMF, hexanes, chloroform","DMF 3×, hexanes 3×; chloroform 3× then 10 h immersion",50 °C under vacuum for 6 h,50,6,brown rod-shaped crystals,64,0.38 × 0.10 × 0.10 mm,acs,Fe3O(O2C)6 trigonal prismatic SBU,polynuclear cluster SBU,"a=b=15.790(2) Å, c=16.050(2) Å, P63/mmc",14,,not_reported,no,250,hydrogen storage,10.1016/j.cattod.2006.09.003,ok,,,,
10.1016/j.cattod.2006.09.003,yes,Solvothermal reactions gave amorphous/microcrystalline solids; only TEA vapor diffusion at RT yielded crystals.,"an iron metal-organic framework with Fe3O(O2C)6 trigonal prismatic SBU and acs topology built by organic linker 2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",,Solvothermal reactions of FeCl2·4H2O (0.38 mmol) and H2F4BDC (0.13 mmol) in DMF/H2O yielded amorphous or microcrystalline precipitates; only TEA vapor diffusion at room temperature produced crystals (text states “solvothermal reactions typically produced amorphous or microcrystalline precipitates”). Represented with three typical solvothermal temperatures and times (no specific values given in the article). TEA vapor omitted for solvothermal runs. ,Negative data captured for Fe3O(F4BDC)3(H2O)3·(DMF)3.5 (1): solvothermal FeCl2/F4BDC in DMF/H2O gave amorphous or microcrystalline solids; only TEA vapor diffusion at RT worked. Zinc MOF-5 analogue attempts are excluded as a different target.,1,modulator_1;solvent_main;solvent_secondary;temperature_c;time_h,FeCl2·4H2O,,"0.15 g, 0.38 mmol",0.38,mmol,,,,,,,,,,,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",F4BDC,"0.03 g, 0.13 mmol",0.13,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,1.0 mL,1,water,H2O,0.5 mL,0.5,380,2.92,100,100.0 °C,72,72.0 h,vapor diffusion setup (sealed vial),static,"DMF, hexanes, chloroform","DMF 3×, hexanes 3×; chloroform 3× then 10 h immersion",50 °C under vacuum for 6 h,50,6,brown rod-shaped crystals,64,0.38 × 0.10 × 0.10 mm,acs,Fe3O(O2C)6 trigonal prismatic SBU,polynuclear cluster SBU,"a=b=15.790(2) Å, c=16.050(2) Å, P63/mmc",14,,not_reported,no,250,hydrogen storage,10.1016/j.cattod.2006.09.003,ok,,,,
10.1016/j.cattod.2006.09.003,yes,Solvothermal reactions gave amorphous/microcrystalline solids; only TEA vapor diffusion at RT yielded crystals.,"an iron metal-organic framework with Fe3O(O2C)6 trigonal prismatic SBU and acs topology built by organic linker 2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",,Solvothermal reactions of FeCl2·4H2O (0.38 mmol) and H2F4BDC (0.13 mmol) in DMF/H2O yielded amorphous or microcrystalline precipitates; only TEA vapor diffusion at room temperature produced crystals (text states “solvothermal reactions typically produced amorphous or microcrystalline precipitates”). Represented with three typical solvothermal temperatures and times (no specific values given in the article). TEA vapor omitted for solvothermal runs. ,Negative data captured for Fe3O(F4BDC)3(H2O)3·(DMF)3.5 (1): solvothermal FeCl2/F4BDC in DMF/H2O gave amorphous or microcrystalline solids; only TEA vapor diffusion at RT worked. Zinc MOF-5 analogue attempts are excluded as a different target.,1,modulator_1;solvent_main;solvent_secondary;temperature_c;time_h,FeCl2·4H2O,,"0.15 g, 0.38 mmol",0.38,mmol,,,,,,,,,,,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",F4BDC,"0.03 g, 0.13 mmol",0.13,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,1.0 mL,1,water,H2O,0.5 mL,0.5,380,2.92,120,120.0 °C,6,6.0 h,vapor diffusion setup (sealed vial),static,"DMF, hexanes, chloroform","DMF 3×, hexanes 3×; chloroform 3× then 10 h immersion",50 °C under vacuum for 6 h,50,6,brown rod-shaped crystals,64,0.38 × 0.10 × 0.10 mm,acs,Fe3O(O2C)6 trigonal prismatic SBU,polynuclear cluster SBU,"a=b=15.790(2) Å, c=16.050(2) Å, P63/mmc",14,,not_reported,no,250,hydrogen storage,10.1016/j.cattod.2006.09.003,ok,,,,
10.1016/j.cattod.2006.09.003,yes,Solvothermal reactions gave amorphous/microcrystalline solids; only TEA vapor diffusion at RT yielded crystals.,"an iron metal-organic framework with Fe3O(O2C)6 trigonal prismatic SBU and acs topology built by organic linker 2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",,Solvothermal reactions of FeCl2·4H2O (0.38 mmol) and H2F4BDC (0.13 mmol) in DMF/H2O yielded amorphous or microcrystalline precipitates; only TEA vapor diffusion at room temperature produced crystals (text states “solvothermal reactions typically produced amorphous or microcrystalline precipitates”). Represented with three typical solvothermal temperatures and times (no specific values given in the article). TEA vapor omitted for solvothermal runs. ,Negative data captured for Fe3O(F4BDC)3(H2O)3·(DMF)3.5 (1): solvothermal FeCl2/F4BDC in DMF/H2O gave amorphous or microcrystalline solids; only TEA vapor diffusion at RT worked. Zinc MOF-5 analogue attempts are excluded as a different target.,1,modulator_1;solvent_main;solvent_secondary;temperature_c;time_h,FeCl2·4H2O,,"0.15 g, 0.38 mmol",0.38,mmol,,,,,,,,,,,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",F4BDC,"0.03 g, 0.13 mmol",0.13,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,1.0 mL,1,water,H2O,0.5 mL,0.5,380,2.92,120,120.0 °C,24,24.0 h,vapor diffusion setup (sealed vial),static,"DMF, hexanes, chloroform","DMF 3×, hexanes 3×; chloroform 3× then 10 h immersion",50 °C under vacuum for 6 h,50,6,brown rod-shaped crystals,64,0.38 × 0.10 × 0.10 mm,acs,Fe3O(O2C)6 trigonal prismatic SBU,polynuclear cluster SBU,"a=b=15.790(2) Å, c=16.050(2) Å, P63/mmc",14,,not_reported,no,250,hydrogen storage,10.1016/j.cattod.2006.09.003,ok,,,,
