DOI,Classification,Triage decision,Document Type,Bibliography row,Classification method,Review needed,Low confidence,Fallback used,Fallback basis,Review reason,Evidence,Primary topic reason,Classifier version
10.1002/adem.201400565,Chemical synthesis,N,Article,2,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Chemical synthesis / Crystal engineering,Chemical synthesis [abstract; synthetic routes]: layer by layer synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [abstract; crystallization and crystal growth]: crystal growth,Phrase-group evidence favors Chemical synthesis; no explicit primary-contribution rule applies.,4.0.0
10.1002/adem.202201335,Functional materials,N,Article,3,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: co2 capture | Functional materials [abstract; adsorption, storage, and separation]: adsorption, co2 capture | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adem.202400825,Functional materials,N,Article,4,topic rules,True,True,False,,Review/perspective article; topic is coverage rather than a single original contribution,"Chemical synthesis [abstract; synthesis development]: synthetic strategies | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; electronic, magnetic, and mechanical function]: thermoelectric | Functional materials [abstract; electronic, magnetic, and mechanical function]: thermoelectric | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.200600944,Functional materials,Y,Article,5,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: sorption, separation | Functional materials [abstract; adsorption, storage, and separation]: sorption, adsorption, hydrogen uptake",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.200901461,Functional materials,N,Article,6,topic rules,True,True,False,,Structural construction and application contributions overlap,"Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: adsorbents | Functional materials [abstract; adsorption, storage, and separation]: adsorbents, adsorption, separated | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.201002517,Functional materials,Y,Article,7,topic rules,False,False,False,,,"Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: adsorption | Functional materials [abstract; adsorption, storage, and separation]: adsorption | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.201002529,Chemical synthesis,Y,Article,8,topic rules,False,False,False,,,"Chemical synthesis [title; synthetic routes]: room temperature synthesis | Chemical synthesis [abstract; routine synthesis conditions (weak)]: hydrothermal | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [primary contribution rule; +30]: Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.","Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.",4.0.0
10.1002/adfm.201101479,Functional materials,Y,Article,9,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [abstract; crystal packing and structural design]: secondary building unit | Functional materials [title; adsorption, storage, and separation]: adsorption | Functional materials [abstract; adsorption, storage, and separation]: adsorption, co2 uptake, separation | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.201400116,Functional materials,N,Article,10,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Chemical synthesis; Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; adsorption, storage, and separation]: separation",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201402972,Theory & modeling,Y,Article,11,topic rules,True,True,False,,Multiple substantial topics in title: Theory & modeling / Functional materials,"Chemical synthesis [abstract; synthetic routes]: room temperature synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Theory & modeling [abstract; explicit computational focus]: molecular simulation | Theory & modeling [title; molecular and statistical simulations]: monte carlo | Functional materials [title; adsorption, storage, and separation]: membranes | Functional materials [abstract; adsorption, storage, and separation]: membranes | Theory & modeling [primary contribution rule; +30]: Title explicitly frames a computational/theoretical study.",Title explicitly frames a computational/theoretical study.,4.0.0
10.1002/adfm.201503154,Functional materials,Y,Article,12,topic rules,False,False,False,,,"Chemical synthesis [abstract; routine synthesis conditions (weak)]: solvothermally | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [abstract; crystallization and crystal growth]: single crystal to single crystal | Functional materials [title; adsorption, storage, and separation]: separation | Functional materials [abstract; adsorption, storage, and separation]: separately, adsorption",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201505380,Crystal engineering,Y,Article,13,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Crystal engineering / Functional materials; Assigned category is supported only by abstract evidence,Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [abstract; network topology and assembly]: coordination driven self assembly | Functional materials [abstract; energy conversion and electrochemistry]: co2 hydrogenation,Phrase-group evidence favors Crystal engineering; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201600650,Functional materials,N,Article,14,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; synthesis development]: synthetic protocols | Functional materials [abstract; biomedical and delivery applications]: cytotoxic, biomedical | Functional materials [primary contribution rule; +30]: Abstract links a stated application to performance or uptake results.",Abstract links a stated application to performance or uptake results.,4.0.0
10.1002/adfm.201600827,Functional materials,Y,Article,15,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Chemical synthesis; Assigned category is supported only by abstract evidence,"Functional materials [abstract; adsorption, storage, and separation]: co2 capture, adsorbed, adsorbents",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201601193,Functional materials,N,Article,16,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Chemical synthesis; Assigned category is supported only by abstract evidence,Functional materials [abstract; biomedical and delivery applications]: photothermal therapy,Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201601550,Functional materials,N,Article,17,topic rules,False,False,False,,,"Chemical synthesis [abstract; synthetic routes]: microfluidic | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: membranes | Functional materials [abstract; adsorption, storage, and separation]: membranes, membrane, separation | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
